File,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\benchmark\benchmark_uploader.py,benchmark_uploader.py
Class,official.benchmark.benchmark_uploader.BigQueryUploader,BigQueryUploader
Method,official.benchmark.benchmark_uploader.BigQueryUploader.__init__,__init__
Method,official.benchmark.benchmark_uploader.BigQueryUploader.upload_benchmark_run_json,upload_benchmark_run_json
Method,official.benchmark.benchmark_uploader.BigQueryUploader.upload_benchmark_metric_json,upload_benchmark_metric_json
Method,official.benchmark.benchmark_uploader.BigQueryUploader.upload_benchmark_run_file,upload_benchmark_run_file
Method,official.benchmark.benchmark_uploader.BigQueryUploader.upload_metric_file,upload_metric_file
Method,official.benchmark.benchmark_uploader.BigQueryUploader._upload_json,_upload_json
Method,official.benchmark.benchmark_uploader.BigQueryUploader.insert_run_status,insert_run_status
Method,official.benchmark.benchmark_uploader.BigQueryUploader.update_run_status,update_run_status
File,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\benchmark\benchmark_uploader_main.py,benchmark_uploader_main.py
Function,official.benchmark.benchmark_uploader_main.main,main
Function,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\benchmark\benchmark_uploader_main.py,benchmark_uploader_main.py
File,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\benchmark\benchmark_uploader_test.py,benchmark_uploader_test.py
Class,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest,BigQueryUploaderTest
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.setUp,setUp
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.tearDown,tearDown
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.test_upload_benchmark_run_json,test_upload_benchmark_run_json
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.test_upload_benchmark_metric_json,test_upload_benchmark_metric_json
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.test_upload_benchmark_run_file,test_upload_benchmark_run_file
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.test_upload_metric_file,test_upload_metric_file
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.test_insert_run_status,test_insert_run_status
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.test_update_run_status,test_update_run_status
Method,official.benchmark.benchmark_uploader_test.BigQueryUploaderTest.__init__,__init__
Function,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\benchmark\benchmark_uploader_test.py,benchmark_uploader_test.py
Package,official.benchmark,benchmark
File,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\benchmark\__init__.py,__init__.py
File,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\boosted_trees\data_download.py,data_download.py
Function,official.boosted_trees.data_download._download_higgs_data_and_save_npz,_download_higgs_data_and_save_npz
Function,official.boosted_trees.data_download.main,main
Function,official.boosted_trees.data_download.define_data_download_flags,define_data_download_flags
Function,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\models\official\boosted_trees\data_download.py,data_download.py
